what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095006142
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095008169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095008797
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095061841
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393095064467
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393095078182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095079640
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095082371
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095082553
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095083665
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095083886
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095085047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095085635
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095104330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095105037
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095111546
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095112124
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095204114
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393095209686
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095210822
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095234016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393095235317
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393095277017
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095278315
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095345377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393095346964
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095348923
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095360340
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393095370106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095370958
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095392861
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1393095394328
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095398664
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095409176
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1393095414116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095415642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095458183
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095464129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095469101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095469204
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095470752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095470844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095474583
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393095476297
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1393095477426
